requirement_id,product_id,requirement_identifier,requirement_type,text
REQ-001,PRD-ASTER-100,REQ-001,performance,Synthetic lifecycle requirement 1.
REQ-002,PRD-ASTER-100,REQ-002,performance,Synthetic lifecycle requirement 2.
REQ-003,PRD-ASTER-100,REQ-003,performance,Synthetic lifecycle requirement 3.
REQ-004,PRD-ASTER-100,REQ-004,safety,Synthetic lifecycle requirement 4.
REQ-005,PRD-ASTER-100,REQ-005,performance,Synthetic lifecycle requirement 5.
REQ-006,PRD-ASTER-100,REQ-006,performance,Synthetic lifecycle requirement 6.
REQ-007,PRD-ASTER-100,REQ-007,performance,Synthetic lifecycle requirement 7.
REQ-008,PRD-ASTER-100,REQ-008,safety,Synthetic lifecycle requirement 8.
REQ-009,PRD-ASTER-100,REQ-009,performance,Synthetic lifecycle requirement 9.
REQ-010,PRD-ASTER-100,REQ-010,performance,Synthetic lifecycle requirement 10.
REQ-011,PRD-ASTER-100,REQ-011,performance,Synthetic lifecycle requirement 11.
REQ-012,PRD-ASTER-100,REQ-012,safety,Synthetic lifecycle requirement 12.
REQ-013,PRD-ASTER-100,REQ-013,performance,Synthetic lifecycle requirement 13.
REQ-014,PRD-ASTER-100,REQ-014,performance,Synthetic lifecycle requirement 14.
REQ-015,PRD-ASTER-100,REQ-015,performance,Synthetic lifecycle requirement 15.
REQ-016,PRD-ASTER-100,REQ-016,safety,Synthetic lifecycle requirement 16.
REQ-017,PRD-ASTER-100,REQ-017,performance,Synthetic lifecycle requirement 17.
REQ-018,PRD-ASTER-100,REQ-018,performance,Synthetic lifecycle requirement 18.
REQ-019,PRD-NIMBUS-200,REQ-019,performance,Synthetic lifecycle requirement 19.
REQ-020,PRD-NIMBUS-200,REQ-020,safety,Synthetic lifecycle requirement 20.
REQ-021,PRD-NIMBUS-200,REQ-021,performance,Synthetic lifecycle requirement 21.
REQ-022,PRD-NIMBUS-200,REQ-022,performance,Synthetic lifecycle requirement 22.
REQ-023,PRD-NIMBUS-200,REQ-023,performance,Synthetic lifecycle requirement 23.
REQ-024,PRD-NIMBUS-200,REQ-024,safety,Synthetic lifecycle requirement 24.
